gene_name,gene_id,full_name,synonyms,tf_function_go,tf_process_go,n_function_terms,n_process_terms,evidence_codes,has_dna_binding,is_activator,is_repressor
RPB8,S000005750,RNA polymerase subunit ABC14.5,YOR224C|ABC14.5|DNA-directed RNA polymerase core subunit RPB8,GO:0003677,GO:0006351|GO:0006366,6,9,IBA|IDA|IEA|IGI|IPI,True,False,False
RPB9,S000003038,RNA polymerase II subunit B12.6,YGL070C|SHI|SSU73|B12.6|DNA-directed RNA polymerase II core subunit RPB9,,GO:0006351|GO:0006366,6,16,IBA|IDA|IEA|IGI|IMP,False,False,False
RPC10,S000001185,"RNA polymerase subunit ABC10-alpha, found in RNA pol I, II, and III",YHR143W-A|RPB12|ABC10-alpha|DNA-directed RNA polymerase core subunit RPC10,GO:0003677,GO:0006351|GO:0006366,11,9,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
RPC11,S000002452,RNA polymerase III subunit C11,YDR045C|C11|DNA-directed RNA polymerase III core subunit RPC11,,GO:0006351,8,8,IBA|IDA|IEA|IMP,False,False,False
RPC19,S000005057,RNA polymerase subunit AC19,YNL113W|AC19|DNA-directed RNA polymerase core subunit RPC19,GO:0003677,GO:0006351,8,6,IBA|IDA|IEA,True,False,False
RPC25,S000001627,RNA polymerase III subunit C25,YKL144C|YKL1|C25|DNA-directed RNA polymerase III subunit RPC25,GO:0003677,GO:0006351,5,7,IBA|IDA|IEA|IMP,True,False,False
RPC31,S000005095,RNA polymerase III subunit C31,YNL151C|ACP2|RPC8|C31|DNA-directed RNA polymerase III subunit C31,GO:0003677,,5,4,IBA|IDA|IEA|IMP,True,False,False
RPC37,S000001733,RNA polymerase III subunit C37,YKR025W|C37|DNA-directed RNA polymerase III subunit C37,,GO:0006351,2,2,IBA|IDA|IEA,False,False,False
RPC40,S000006314,RNA polymerase subunit AC40,YPR110C|RPC5|DNA-directed RNA polymerase core subunit RPC40,GO:0003677,GO:0006351,14,8,IBA|IDA|IEA|IMP,True,False,False
RPC53,S000002309,RNA polymerase III subunit C53,YDL150W|RPC4|C53|DNA-directed RNA polymerase III subunit C53,GO:0003677,,3,3,IBA|IDA|IEA|IMP,True,False,False
RPC82,S000006394,RNA polymerase III subunit C82,YPR190C|RPC80|RPC3|DNA-directed RNA polymerase III subunit C82,GO:0003677,GO:0006351,4,3,IBA|IDA|IEA|IMP,True,False,False
RPD3,S000005274,"Histone deacetylase, component of both the Rpd3S and Rpd3L complexes",YNL330C|MOF6|REC3|SDI2|SDS6|histone deacetylase RPD3,,GO:0000122|GO:0045944,14,60,HDA|IBA|IDA|IEA|IGI|IMP|IPI,False,True,True
RPH1,S000000971,JmjC domain-containing histone demethylase,YER169W|KDM4,GO:0001227|GO:0003677,GO:0000122,17,27,HDA|IBA|IC|IDA|IEA|IGI|IMP,True,False,True
RPI1,S000001381,"Transcription factor, allelic differences between S288C and Sigma1278b",YIL119C,GO:0003677,GO:0045944,2,5,IDA|IEA|IGI|IMP,True,True,False
RPM2,S000004556,Protein subunit of mitochondrial RNase P,YML091C|ribonuclease P,,GO:0045944,5,15,HDA|IDA|IEA|IGI|IMP|IPI,False,True,False
RPN4,S000002178,Transcription factor that stimulates expression of proteasome genes,YDL020C|SON1|UFD5|stress-regulated transcription factor RPN4,GO:0001228|GO:0003677,GO:0000122|GO:0045944,3,23,HDA|HMP|IDA|IEA|IGI|IMP,True,True,True
RPO21,S000002299,RNA polymerase II largest subunit B220,YDL140C|RPB1|RPB220|SUA8|B220|DNA-directed RNA polymerase II core subunit RPO21|SIT1,GO:0003677,GO:0006351|GO:0006366,28,12,HDA|IBA|IDA|IEA|IMP,True,False,False
RPO26,S000006391,RNA polymerase subunit ABC23,YPR187W|ABC23|RPB6|DNA-directed RNA polymerase core subunit RPO26,GO:0003677,GO:0006351|GO:0006366,17,12,IBA|IDA|IEA|IMP,True,False,False
RPO31,S000005642,RNA polymerase III largest subunit C160,YOR116C|C160|RPC1|RPC160|DNA-directed RNA polymerase III core subunit RPO31,GO:0003677,GO:0006351,19,7,IBA|IDA|IEA,True,False,False
RPO41,S000001858,Mitochondrial RNA polymerase,YFL036W|DNA-directed RNA polymerase,GO:0003677,GO:0006351,12,6,HDA|IBA|IDA|IEA|IMP,True,False,False
RQT4,S000001731,Subunit of ribosome-associated quality control trigger complex (RQT),YKR023W,,GO:0006355|GO:0045893,3,3,HDA|IBA|IEA|ND,False,False,False
RRM3,S000001073,DNA helicase involved in rDNA replication and Ty1 transposition,YHR031C|RTT104|DNA helicase,GO:0003677,,12,17,IBA|IDA|IEA|IGI|IMP,True,False,False
RRN7,S000003562,Component of the core factor (CF) rDNA transcription factor complex,YJL025W,GO:0003677,,10,5,IBA|IC|IDA|IEA|IMP|IPI,True,False,False
RRP14,S000001565,"Essential protein, constituent of 66S pre-ribosomal particles",YKL082C|ribosome biosynthesis protein RRP14,GO:0003677,,3,7,IBA|IDA|IEA|IMP|ND,True,False,False
RSC3,S000002711,Component of the RSC chromatin remodeling complex,YDR303C,GO:0000981|GO:0003677,GO:0006355|GO:0006357,8,10,HDA|IDA|IEA|IGI|IMP,True,False,False
RSC30,S000001098,Component of the RSC chromatin remodeling complex,YHR056C,GO:0000981|GO:0003677,GO:0006355|GO:0006357,6,9,IDA|IEA|IMP,True,False,False
RSC58,S000004023,Component of the RSC chromatin remodeling complex,YLR033W,,GO:0006357,0,5,IBA|IDA|IEA,False,False,False
RSC6,S000000648,Component of the RSC chromatin remodeling complex,YCR052W,GO:0001228,GO:0006357|GO:0045944,1,7,IBA|IDA|IEA,False,True,False
RSC8,S000001933,Component of the RSC chromatin remodeling complex,YFR037C|SWH3,GO:0003677,GO:0045893,5,7,HDA|IBA|IDA|IEA|IMP,True,False,False
RSC9,S000004596,Component of the RSC chromatin remodeling complex,YML127W,GO:0003677,GO:0006355|GO:0006357,2,11,IBA|IDA|IEA|IMP,True,False,False
RSF1,S000004632,Protein required for respiratory growth,YMR030W,,GO:0006366,1,4,IDA|IEA|IMP|ND,False,False,False
RSF2,S000003888,Zinc-finger protein,YJR127C|ZMS1,GO:0000981|GO:0003677|GO:0003700,GO:0006351|GO:0006355|GO:0006357,8,3,HDA|IBA|IEA|IMP|ISS,True,False,False
RSP5,S000000927,NEDD4 family E3 ubiquitin ligase,YER125W|MDP1|MUT2|NPI1|UBY1|SMM1|NEDD4 family E3 ubiquitin-protein ligase|HPG1,,GO:0045944,17,74,HDA|IBA|IDA|IEA|IGI|IMP|IPI,False,True,False
RTF1,S000003213,Subunit of RNAPII-associated chromatin remodeling Paf1 complex,YGL244W|CSL3,GO:0003677,GO:0000122|GO:0006357,5,30,IBA|IDA|IEA|IGI|IMP|IPI,True,False,True
RTG1,S000005428,Transcription factor (bHLH) involved in interorganelle communication,YOL067C,GO:0000981|GO:0003677,GO:0006357|GO:0045944,9,7,IBA|IDA|IEA|IMP,True,True,False
RTG2,S000003221,Sensor of mitochondrial dysfunction,YGL252C,,GO:0006357|GO:0045944,1,11,IBA|IDA|IGI|IMP,False,True,False
RTG3,S000000199,bHLH/Zip transcription factor for retrograde (RTG) and TOR pathways,YBL103C,GO:0000981|GO:0003677,GO:0006357|GO:0045944,9,10,HDA|IBA|IDA|IEA|IMP|IPI,True,True,False
RTR1,S000000941,Dual specificity protein phosphatase,YER139C|RNA polymerase II subunit B1 CTD phosphatase RTR1,,GO:0006366,10,10,HDA|IBA|IDA|IEA|IGI|IMP|IPI,False,False,False
RTS1,S000005540,B-type regulatory subunit of protein phosphatase 2A (PP2A),YOR014W|SCS1|protein phosphatase 2A regulatory subunit RTS1,GO:0003677,,3,15,HDA|IDA|IEA|IGI|IMP,True,False,False
RTS2,S000005603,Basic zinc-finger protein,YOR077W|YOR29-28,GO:0003677,,5,1,HDA|IEA|ND,True,False,False
RTT103,S000002697,Protein involved in transcription termination by RNA polymerase II,YDR289C,GO:0003677,,4,7,IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
RTT106,S000005150,Histone chaperone,YNL206C,GO:0003677,GO:0000122,13,18,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,True
RTT109,S000003925,Histone acetyltransferase,YLL002W|KIM2|REM50|KAT11|H3 histone acetyltransferase RTT109,,GO:0006355,12,24,HDA|IBA|IDA|IEA|IGI|IMP,False,False,False
RVB1,S000002598,"ATP-dependent DNA helicase, also known as pontin",YDR190C|TIP49A|TIH1|TIP49|RuvB family ATP-dependent DNA helicase pontin,,GO:0006357,12,14,HDA|IBA|IDA|IEA|IMP|IPI,False,False,False
RVB2,S000006156,"ATP-dependent DNA helicase, also known as reptin",YPL235W|TIP49B|TIP48|TIH2|RuvB family ATP-dependent DNA helicase reptin,,GO:0006357,13,17,HDA|IBA|IDA|IEA|IMP|IPI,False,False,False
RXT2,S000000299,Component of the histone deacetylase Rpd3L complex,YBR095C|RAF60,,GO:0000122,1,16,HDA|IBA|IDA|IEA|IMP,False,False,True
SAE2,S000003143,Endonuclease required for telomere elongation,YGL175C|COM1|ssDNA endodeoxyribonuclease SAE2,GO:0003677,,8,17,HDA|IDA|IEA|IGI|IMP,True,False,False
SAP30,S000004876,Component of Rpd3L histone deacetylase complex,YMR263W,,GO:0006355|GO:0045944,2,15,HDA|IBA|IDA|IEA|IMP,False,True,False
SAS2,S000004734,Histone acetyltransferase (HAT) catalytic subunit of the SAS complex,YMR127C|KAT8|histone acetyltransferase,,GO:0006355|GO:0045892|GO:0045944,10,10,IBA|IC|IDA|IEA|IMP|IPI,False,True,False
SAS3,S000000148,Histone acetyltransferase catalytic subunit of NuA3 complex,YBL052C|KAT6|histone acetyltransferase,,GO:0006355|GO:0045892|GO:0045944,10,10,IBA|IDA|IEA|IMP,False,True,False
SAS5,S000005739,"Subunit of the SAS complex (Sas2p, Sas4p, Sas5p)",YOR213C,,GO:0006355,2,4,IC|IDA|IEA|IPI,False,False,False
SDD2,S000004678,Protein with homology to human PDCD5,YMR074C,GO:0003677,,3,1,HDA|IBA|IEA|IMP|ND,True,False,False
SDD4,S000006226,"Putative transcription factor, as suggested by computational analysis",YPR022C,GO:0000981|GO:0003677,GO:0006351|GO:0006357,6,3,HDA|IBA|IEA|ND,True,False,False
SDH5,S000005432,Protein required for flavinylation of Sdh1p,YOL071W|EMI5|succinate dehydrogenase assembly factor SDH5,,GO:0045944,0,11,HDA|HMP|IBA|IDA|IEA|IMP|IPI,False,True,False
SDS3,S000001346,Component of the Rpd3L histone deacetylase complex,YIL084C,,GO:0000122|GO:0045944,2,19,HDA|IBA|IDA|IEA|IMP,False,True,True
SEC13,S000004198,Structural component of 3 complexes,YLR208W|ANU3|GTPase-activating protein SEC13,,GO:0045893,6,18,HDA|IBA|IDA|IEA|IMP,False,False,False
SEF1,S000000162,Putative transcription factor,YBL066C,GO:0000981|GO:0003677,GO:0006351|GO:0006355|GO:0006357,11,7,IBA|IEA|ND,True,False,False
SET1,S000001161,"Histone methyltransferase, subunit of the COMPASS (Set1C) complex",YHR119W|YTX1|KMT2|histone methyltransferase SET1,,GO:0000122|GO:0045944,14,29,IDA|IEA|IGI|IMP|IPI,False,True,True
SET2,S000003704,Histone methyltransferase with a role in transcriptional elongation,YJL168C|EZL1|KMT3|histone methyltransferase SET2,,GO:0006355,9,21,IBA|IDA|IEA|IGI|IMP,False,False,False
SET3,S000001737,Defining member of the SET3 histone deacetylase complex,YKR029C|histone-binding protein SET3,,GO:0006355,2,6,HDA|IDA|IEA|IMP,False,False,False
SFH1,S000004313,Component of the RSC chromatin remodeling complex,YLR321C,,GO:0006357,1,13,IBA|IDA|IEA|IGI|IMP,False,False,False
SFL1,S000005666,Transcriptional repressor and activator,YOR140W,GO:0000981|GO:0003677|GO:0003700,GO:0000122|GO:0006355|GO:0006357|GO:0045944,15,22,IBA|IDA|IEA|IGI|IMP|IPI,True,True,True
SFP1,S000004395,Regulates transcription of ribosomal protein and biogenesis genes,YLR403W|[ISP(+)]|[ISP+]|zinc-coordinating transcription factor SFP1,GO:0003677,GO:0045944,2,9,HDA|IBA|IDA|IEA|IGI|IMP,True,True,False
SGF11,S000005968,Integral subunit of SAGA histone acetyltransferase complex,YPL047W|SAGA histone acetyltransferase complex subunit SGF11,,GO:0006357|GO:0045893,4,6,HDA|IDA|IEA|IMP,False,False,False
SGF29,S000000516,"Component of the HAT/Core module of the SAGA, SLIK, and ADA complexes",YCL010C,,GO:0045944,2,9,IBA|IDA|IEA|IMP|IPI,False,True,False
SGF73,S000003034,Subunit of DUBm module of SAGA and SLIK,YGL066W|SCA7|deubiquitination module subunit SGF73,,GO:0006357,6,13,IBA|IDA|IEA|IGI|IMP|IPI,False,False,False
SIF2,S000000307,WD40 repeat-containing subunit of Set3C histone deacetylase complex,YBR103W|EMB1,,GO:0006355|GO:0006357|GO:0045892,2,10,HDA|IBA|IDA|IEA|IMP|IPI|ND,False,False,False
SIN3,S000005364,Component of both the Rpd3S and Rpd3L histone deacetylase complexes,YOL004W|CPE1|GAM2|RPD1|SDI1|SDS16|UME4|transcriptional regulator SIN3,,GO:0000122|GO:0006355|GO:0045944,5,29,HDA|IBA|IDA|IEA|IGI|IMP|IPI,False,True,True
SIN4,S000005180,Subunit of the RNA polymerase II mediator complex,YNL236W|MED16|BEL2|GAL22|SDI3|SSF5|SSN4|TSF3|RYE1|SSX3,,GO:0000122|GO:0045944,1,6,IDA|IEA|IGI|IMP,False,True,True
SIP3,S000005201,Putative sterol transfer protein,YNL257C|LAM3,,GO:0045944,2,3,HDA|IBA|IDA|IEA|IMP,False,True,False
SIP4,S000003625,C6 zinc cluster transcriptional activator,YJL089W,GO:0000981|GO:0001228|GO:0003677,GO:0006355|GO:0045944,13,10,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,True,False
SIR3,S000004434,Silencing protein,YLR442C|CMT1|MAR2|STE8|chromatin-silencing protein SIR3,GO:0003677,,8,12,HDA|IDA|IEA|IGI|IMP,True,False,False
SIR4,S000002635,SIR protein involved in assembly of silent chromatin domains,YDR227W|ASD1|STE9|UTH2|chromatin-silencing protein SIR4,GO:0003677,,6,14,IDA|IEA|IGI|IMP,True,False,False
SIS1,S000004952,Type II HSP40 co-chaperone that interacts with the HSP70 protein Ssa1p,YNL007C|type II HSP40 co-chaperone SIS1,GO:0003677,,6,13,IBA|IDA|IEA|IMP,True,False,False
SKI2,S000004390,Ski complex component and putative RNA helicase,YLR398C|SKI complex RNA helicase subunit SKI2,GO:0003677,,13,12,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
SKM1,S000005473,Member of the PAK family of serine/threonine protein kinases,YOL113W|putative serine/threonine protein kinase SKM1,,GO:0000122,15,15,HDA|IBA|IDA|IEA|IGI|IMP|ISS,False,False,True
SKN7,S000001249,Nuclear response regulator and transcription factor,YHR206W|BRY1|POS9|kinase-regulated stress-responsive transcription factor SKN7,GO:0001228|GO:0003677|GO:0003700,GO:0006355|GO:0006357|GO:0045944,15,14,HDA|IBA|IDA|IEA|IMP,True,True,False
SKO1,S000005111,Basic leucine zipper transcription factor of the ATF/CREB family,YNL167C|ACR1,GO:0000981|GO:0001227|GO:0001228|GO:0003677|GO:0003700,GO:0000122|GO:0006355|GO:0006357|GO:0045944,30,17,IBA|IDA|IEA|IGI|IMP,True,True,True
SKP1,S000002736,Evolutionarily conserved kinetochore protein,YDR328C|CBF3D|MGO1|SCF ubiquitin ligase subunit SKP1,GO:0003677,,6,31,IBA|IDA|IEA|IGI|IMP|IPI|TAS,True,False,False
SKS1,S000005947,Putative serine/threonine protein kinase,YPL026C|SHA3|putative serine/threonine protein kinase SKS1,,GO:0045944,14,10,HDA|IBA|IDA|IEA|IGI|IMP|ISS,False,True,False
SMC1,S000001886,Subunit of the multiprotein cohesin complex,YFL008W|CHL10|cohesin subunit SMC1,GO:0003677,,10,10,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
SMI1,S000003461,Protein involved in the regulation of cell wall synthesis,YGR229C|KNR4,GO:0003677,,2,9,HDA|IBA|IDA|IEA|IGI|IMP|ND,True,False,False
SMP1,S000000386,MADS-box transcription factor involved in osmotic stress response,YBR182C,GO:0000981|GO:0003677|GO:0003700,GO:0006357|GO:0045944,13,5,HDA|IBA|IC|IDA|IEA|IGI|IMP,True,True,False
SNF11,S000002480,Subunit of the SWI/SNF chromatin remodeling complex,YDR073W,,GO:0045944,0,1,IDA|IEA|IMP,False,True,False
SNF12,S000005306,73 kDa subunit of the SWI/SNF chromatin remodeling complex,YNR023W|SWP73,GO:0001228,GO:0006357|GO:0045944,1,7,IBA|IDA|IEA|IGI|IMP,False,True,False
SNF2,S000005816,Catalytic subunit of the SWI/SNF chromatin remodeling complex,YOR290C|GAM1|HAF1|SWI2|TYE3|SWI/SNF catalytic subunit SNF2,GO:0003677,GO:0006355|GO:0045944,21,26,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,True,False
SNF4,S000003083,Activating gamma subunit of the AMP-activated Snf1p kinase complex,YGL115W|CAT3|SCI1|AMP-activated serine/threonine-protein kinase regulatory subunit SNF4,,GO:0006357,12,15,HDA|IBA|IDA|IEA|IGI|IMP|IPI,False,False,False
SNF5,S000000493,Subunit of the SWI/SNF chromatin remodeling complex,YBR289W|HAF4|SWI10|TYE4,,GO:0006357|GO:0045944,5,12,IBA|IDA|IEA|IGI|IMP|IPI,False,True,False
SNF6,S000001017,Subunit of the SWI/SNF chromatin remodeling complex,YHL025W,,GO:0045944,1,10,IDA|IEA|IGI|IMP|IPI,False,True,False
SNT1,S000000629,Set3C histone deacetylase scaffold,YCR033W|[ESI+],GO:0003677,GO:0000122|GO:0006355,5,4,HDA|IBA|IDA|IEA|IMP|ND,True,False,True
SOH1,S000003095,Subunit of the RNA polymerase II mediator complex,YGL127C|MED31|mediator complex subunit SOH1,,GO:0006355|GO:0006357|GO:0006366,3,7,HDA|IBA|IDA|IEA|IMP|IPI|ND,False,False,False
SOK2,S000004618,Nuclear protein that negatively regulates pseudohyphal differentiation,YMR016C,GO:0003677|GO:0003700,GO:0045944,5,3,HDA|IBA|IDA|IEA|IMP|ISS,True,True,False
SPN1,S000006337,Protein involved in RNA polymerase II transcription,YPR133C|IWS1,,GO:0006357,4,14,IBA|IC|IEA|IGI|IMP|IPI,False,False,False
SPO11,S000001014,Meiosis-specific protein required for meiotic recombination,YHL022C|DNA topoisomerase (ATP-hydrolyzing),GO:0003677,,14,10,IBA|IDA|IEA|IGI|IMP,True,False,False
SPP1,S000006059,Subunit of COMPASS (Set1C),YPL138C|SAF41|CPS40,,GO:0006355|GO:0045893,7,10,IBA|IDA|IEA|IMP|IPI,False,False,False
SPT10,S000003663,Histone H3 acetylase with a role in transcriptional regulation,YJL127C|CRE1|SUD1,,GO:0000122,8,19,HDA|IBA|IC|IDA|IEA|IGI|IMP|ISS,False,False,True
SPT15,S000000950,TATA-binding protein (TBP),YER148W|BTF1|TBP|TBP1|TATA-binding protein,GO:0003677,,21,8,IBA|IC|IDA|IEA|IMP|IPI,True,False,False
SPT2,S000000963,Protein involved in negative regulation of transcription,YER161C|EXA1|SIN1,GO:0003677,GO:0000122,3,13,IDA|IEA|IGI|IMP,True,False,True
SPT20,S000005508,Subunit of the SAGA transcriptional regulatory complex,YOL148C|ADA5,,GO:0006357,3,4,IBA|IDA|IEA|IMP,False,False,False
SPT21,S000004791,Protein with a role in transcriptional silencing,YMR179W,,GO:0006357,1,8,HDA|IBA|IEA|IGI|IMP|ND,False,False,False
SPT23,S000001503,ER membrane protein involved in regulation of OLE1 transcription,YKL020C,,GO:0045944,1,4,HDA|IDA|IGI|IMP|ND,False,True,False
SPT3,S000002800,Subunit of the SAGA and SAGA-like transcriptional regulatory complexes,YDR392W|transcriptional regulator SPT3,,GO:0006355|GO:0006366,4,8,IBA|IDA|IEA|IMP,False,False,False
SPT4,S000003295,Spt4p/5p (DSIF) transcription elongation factor complex subunit,YGR063C|transcription elongation factor SPT4,,GO:0006355,9,21,IBA|IC|IDA|IEA|IGI|IMP|IPI,False,False,False
SPT5,S000004470,Spt4p/5p (DSIF) transcription elongation factor complex subunit,YML010W|transcription elongation factor SPT5,GO:0003677,GO:0006355|GO:0006357,17,19,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
SPT6,S000003348,Nucleosome remodeling protein,YGR116W|CRE2|SSN20|chromatin-remodeling histone chaperone SPT6,GO:0003677,GO:0000122|GO:0045944,9,31,HDA|IBA|IDA|IEA|IGI|IMP,True,True,True
SPT7,S000000285,Subunit of the SAGA transcriptional regulatory complex,YBR081C|GIT2|SAGA histone acetyltransferase complex subunit SPT7,,GO:0006357,4,8,HDA|IBA|IDA|IEA|IMP,False,False,False
SPT8,S000004045,Subunit of the SAGA transcriptional regulatory complex,YLR055C|SAGA complex subunit SPT8,,GO:0000122|GO:0006357|GO:0045944,5,7,HDA|IBA|IDA|IEA|IMP,False,True,True
SRB2,S000001083,Subunit of the RNA polymerase II mediator complex,YHR041C|MED20|HRS2,,GO:0006357|GO:0045944,7,7,IBA|IDA|IEA|IGI|IMP,False,True,False
SRB4,S000000824,Subunit of the RNA polymerase II mediator complex,YER022W|MED17,,GO:0006357|GO:0045944,9,5,IBA|IDA|IEA|IMP|IPI,False,True,False
SRB5,S000003336,Subunit of the RNA polymerase II mediator complex,YGR104C|MED18,,GO:0006357|GO:0045944,7,7,IBA|IDA|IEA|IMP,False,True,False
SRB6,S000000457,Subunit of the RNA polymerase II mediator complex,YBR253W|MED22,,GO:0006357|GO:0045944,3,3,IDA|IEA|ND,False,True,False
SRB7,S000002716,Subunit of the RNA polymerase II mediator complex,YDR308C|MED21|SSX1,,GO:0000122|GO:0006357|GO:0045944,5,3,IBA|IDA|IEA|IMP|IPI,False,True,True
SRB8,S000000677,Subunit of the RNA polymerase II mediator complex,YCR081W|GIG1|NUT6|SSN5|MED12|YCR080W,,GO:0000122|GO:0006357|GO:0045944,3,4,IDA|IEA|IMP,False,True,True
SRD1,S000000611,Protein involved in the processing of pre-rRNA to mature rRNA,YCR018C,GO:0003677,GO:0006355,6,4,HDA|IEA|IGI|ND,True,False,False
SRG1,S000029010,Non-protein-coding RNA that regulates the transcription of SER3,SRG1,,GO:0045892,1,3,IC|IEA|IEP|IMP|ND,False,False,False
SRS2,S000003628,DNA helicase and DNA-dependent ATPase,YJL092W|HPR5|RADH|RADH1|DNA helicase SRS2,GO:0003677,,17,13,IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
SSL1,S000003995,Subunit of the core form of RNA polymerase transcription factor TFIIH,YLR005W|TFIIH/NER complex subunit SSL1,,GO:0006351|GO:0006357|GO:0006366,3,12,IBA|IDA|IEA|IMP,False,False,False
SSL2,S000001405,Component of RNA polymerase transcription factor TFIIH holoenzyme,YIL143C|LOM3|RAD25|TFIIH/NER complex ATPase/helicase subunit SSL2,GO:0003677,GO:0006366,14,17,IBA|IDA|IEA|IMP,True,False,False
SSN2,S000002851,Subunit of the RNA polymerase II mediator complex,YDR443C|RYE3|MED13|NUT8|SCA1|SRB9|UME2|SSX5,,GO:0000122|GO:0006357|GO:0045944,5,5,IBA|IDA|IEA|IMP,False,True,True
SSN3,S000005963,Component of the RNA polymerase II mediator complex,YPL042C|CDK8|RYE5|cyclin-dependent serine/threonine protein kinase SSN3|GIG2|NUT7|SRB10|UME5|SSX7|URR1,,GO:0000122,18,18,HDA|IBA|IDA|IEA|IGI|IMP|IPI|ISS,False,False,True
SSN8,S000004970,Cyclin-like component of RNA polymerase II holoenzyme,YNL025C|GIG3|NUT9|CycC|RYE2|SRB11|UME3|CNC1|cyclin-dependent protein serine/threonine kinase regulator SSN8,,GO:0000122|GO:0006357|GO:0045944,9,8,IBA|IDA|IEA|IMP,False,True,True
STB1,S000005253,Protein with role in regulation of MBF-specific transcription at Start,YNL309W,,GO:0045944,3,4,HDA|IDA|IEA|IGI|IMP|IPI,False,True,False
STB3,S000002576,Ribosomal RNA processing element (RRPE)-binding protein,YDR169C,GO:0001228,,5,2,HDA|IBA|IDA|IEA|IMP,False,True,False
STB4,S000004621,Putative transcription factor,YMR019W,GO:0000981|GO:0003677,GO:0006351|GO:0006355|GO:0006357,10,5,HDA|IEA|ISS|ND,True,False,False
STB5,S000001221,Transcription factor,YHR178W,GO:0000981|GO:0003677|GO:0003700,GO:0006351|GO:0006355|GO:0045944,13,7,HDA|IBA|IC|IDA|IEA|IMP,True,True,False
STD1,S000005573,Protein involved in control of glucose-regulated gene expression,YOR047C|MSN3|SFS3,,GO:0006357,1,9,IDA|IEA|IGI|IMP,False,False,False
STE12,S000001126,Transcription factor that is activated by a MAPK signaling cascade,YHR084W|homeodomain family transcription factor STE12,GO:0003677|GO:0003700,GO:0006355,4,12,IBA|IDA|IEA|IMP,True,False,False
STE20,S000000999,Cdc42p-activated signal transducing kinase,YHL007C|mitogen-activated protein kinase kinase kinase kinase STE20,,GO:0000122,19,39,HDA|HMP|IBA|IDA|IEA|IGI|IMP|IPI,False,False,True
STH1,S000001388,ATPase component of the RSC chromatin remodeling complex,YIL126W|NPS1|RSC chromatin remodeling complex ATPase subunit STH1,GO:0003677,GO:0045944,15,18,IBA|IDA|IEA|IGI|IMP,True,True,False
STM1,S000004140,Protein required for optimal translation under nutrient stress,YLR150W|MPT4,GO:0003677,,5,6,HDA|IDA|IEA|IGI|IMP,True,False,False
STP1,S000002871,Transcription factor,YDR463W|BAP1|SSY2,GO:0000981|GO:0001228|GO:0003677,GO:0006357|GO:0045893|GO:0045944,9,15,IBA|IDA|IEA|IGI|IMP,True,True,False
STP2,S000001048,Transcription factor,YHR006W,GO:0000981|GO:0001228|GO:0003677,GO:0006357|GO:0045944,9,12,IBA|IDA|IEA|IGI|IMP,True,True,False
STP3,S000004367,Zinc-finger protein of unknown function,YLR375W,,GO:0006357,4,2,HDA|IBA|IDA|IEA|ND,False,False,False
STP4,S000002206,Protein containing a Kruppel-type zinc-finger domain,YDL048C,,GO:0006357,3,2,HDA|IBA|IEA|ND,False,False,False
SUA5,S000003137,Protein involved in threonylcarbamoyl adenosine biosynthesis,YGL169W|threonylcarbamoyladenylate synthase,GO:0003677,,11,8,HDA|IBA|IDA|IEA|IMP,True,False,False
SUB1,S000004642,Transcriptional regulator,YMR039C|TSP1|chromatin-binding transcription coactivator SUB1,GO:0003677,GO:0006355,7,19,HDA|IBA|IDA|IEA|IGI|IMP|ISS,True,False,False
SUM1,S000002718,Transcriptional repressor that regulates middle-sporulation genes,YDR310C,GO:0001227|GO:0003677,GO:0000122,6,12,HDA|IDA|IEA|IGI|IMP|IPI,True,False,True
SUS1,S000028510,Component of both the SAGA histone acetylase and TREX-2 complexes,YBR111W-A,,GO:0006357|GO:0045893|GO:0045944,5,22,IBA|IDA|IEA|IMP,False,True,False
SUT1,S000003130,Zn(II)2Cys6 family transcription factor,YGL162W,GO:0000981,GO:0000122|GO:0006355|GO:0045944,6,5,HDA|IDA|IEA|IGI|IMP|IPI,False,True,True
SUT2,S000006213,Zn2Cys6 family transcription factor,YPR009W,,GO:0000122|GO:0045944,2,4,HDA|IDA|IEA|IGI|IMP|ISS,False,True,True
SWC4,S000003234,Component of the Swr1p complex that incorporates Htz1p into chromatin,YGR002C|EAF2|GOD1,,GO:0000122,2,16,HDA|IBA|IDA|IEA|IMP|IPI,False,False,True
SWD1,S000000064,Subunit of the COMPASS (Set1C) complex,YAR003W|CPS50|SAF49|COMPASS subunit protein SWD1|FUN16,,GO:0006355,4,10,IDA|IEA|IMP|IPI,False,False,False
SWI1,S000005937,Subunit of the SWI/SNF chromatin remodeling complex,YPL016W|ADR6|GAM3|LPA1|[SWI+]|[SWI(+)],GO:0003677,GO:0006357|GO:0045944,9,9,IBA|IDA|IEA|IGI|IMP|IPI,True,True,False
